Timestamp (ms),Timestamp,Speaker,Transcript,Showing（1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
343876,00:05:43.876,m,don't spit out there silly,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
349282,00:05:49.282,m,good job,0,,0,,1,job,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
352852,00:05:52.852,m,here,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
353668,00:05:53.668,m,let's braid your hair back,0,,0,,1,hair,,,,,1,your,,,,,,,1,0,childshair,,,,,,,1,1,,,,,1,2,,
354518,00:05:54.518,m,and do you want to eat some breakfast?,0,,0,,1,breakfast,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
357646,00:05:57.646,m,hmm?,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
362474,00:06:02.474,m,let's eat some breakfast,0,,0,,1,breakfast,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,1,,
364310,00:06:04.310,m,xxx put your shirts,0,,0,,1,shirts,,,,,1,your,,,,,,,1,0,childsshirts,,,,,,,1,1,,,,,1,1,,
367778,00:06:07.778,m,and then I will make you some foods,0,,0,,1,foods,,,,,2,i,you,,,,,,0,2,mother,child,,,,,,1,0,,,,,1,2,,
370056,00:06:10.56,m,do you want an egg?,0,,0,,1,egg,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
374034,00:06:14.34,m,you want to eat some eggs?,0,,0,,1,eggs,,,,,1,you,,,,,,,0,1,child,,,,,,,1,0,,,,,1,1,,
378862,00:06:18.862,m,[laughing],0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
381242,00:06:21.242,m,you xxx,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
382228,00:06:22.228,m,it is from NYU,0,,0,,1,nyu,,,,,1,it,,,,,,,0,1,researcher,,,,,,,1,0,,,,,0,1,,
383588,00:06:23.588,m,she is here to watch us interact together today,0,,0,,0,,,,,,2,she,us,,,,,,0,2,researcher,motherandchild,,,,,,0,0,,,,,1,2,,
386444,00:06:26.444,m,do you want to play here a little bit while i cook for you?,0,,0,,0,,,,,,3,you,i,you,,,,,0,3,child,mother,child,,,,,0,0,,,,,1,3,,
390932,00:06:30.932,m,here,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
391578,00:06:31.578,m,why don't you play,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
393550,00:06:33.550,m,show mommy,0,,0,,1,mommy,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
397052,00:06:37.52,m,what all these things are,0,,0,,1,things,,,,,1,these,,,,,,,1,0,toy,,,,,,,1,1,,,,,1,1,,
400656,00:06:40.656,m,this,1,bananatoy,0,,0,,,,,,1,this,,,,,,,0,1,bananatoy,,,,,,,0,0,,,,,0,1,,
402934,00:06:42.934,m,now,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
405654,00:06:45.654,m,can you do this?,0,,0,,0,,,,,,2,you,this,,,,,,0,2,child,play,,,,,,0,0,,,,,0,2,,
527068,00:08:47.68,m,guess what,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,1,,
527748,00:08:47.748,m,i am making you,0,,0,,0,,,,,,2,i,you,,,,,,0,2,mother,child,,,,,,0,0,,,,,0,2,,
529210,00:08:49.210,m,look,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
531046,00:08:51.46,m,what's that?,0,,0,,0,,,,,,1,that,,,,,,,0,1,egg,,,,,,,0,0,,,,,0,2,,
531964,00:08:51.964,m,no,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
532712,00:08:52.712,m,it is an egg,0,,0,,1,egg,,,,,1,it,,,,,,,0,1,egg,,,,,,,1,1,,,,,1,1,,
534922,00:08:54.922,m,I know we are not,0,,0,,0,,,,,,2,i,we,,,,,,0,2,mother,motherandchild,,,,,,0,0,,,,,0,2,,
535704,00:08:55.704,m,I am making the egg,0,,0,,1,egg,,,,,1,i,,,,,,,0,1,mother,,,,,,,1,0,,,,,1,1,,
536999,00:08:56.999,m,I've already cooked xxx,0,,0,,0,,,,,,1,i,,,,,,,0,1,mother,,,,,,,0,0,,,,,0,1,,
540532,00:09:00.532,m,no sweetie,0,,0,,1,sweetie,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
541518,00:09:01.518,m,no,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
