Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Nouns_Spacy,Pronoun_Spacy,,
609518,00:10:09.518,m,no,0,,,,,0,,,,,0,0,,
611296,00:10:11.296,m,the foot book,1,footbook,,,,0,,,,,0,0,,
612393,,c,hand,,,,,,,,,,,,,,
613598,00:10:13.598,m,oh hand,1,hand,,,,0,,,,,0,0,,
614652,00:10:14.652,m,alright,0,,,,,0,,,,,0,0,,
616658,,c,thumb,,,,,,,,,,,,,,
618086,,c,thumb,,,,,,,,,,,,,,
618868,00:10:18.868,m,alright,0,,,,,0,,,,,0,1,,
619582,00:10:19.582,m,thumb very good,1,thumb,,,,0,,,,,0,0,,
621768,00:10:21.768,m,thumb,1,thumb,,,,0,,,,,1,0,,
622506,00:10:22.506,m,that's what you won't put in your mitten,1,mitten,,,,3,that,you,your,,1,0,,
709798,00:11:49.798,m,oh,0,,,,,0,,,,,0,1,,
711007,00:11:51.7,m,what do you think?,0,,,,,1,you,,,,1,1,,
711215,,c,again,,,,,,,,,,,,,,
712572,00:11:52.572,m,again?,0,,,,,0,,,,,1,1,,
713184,00:11:53.184,m,really?,0,,,,,0,,,,,0,0,,
714905,00:11:54.905,m,really?,0,,,,,0,,,,,1,0,,
716586,00:11:56.586,m,why don't we,0,,,,,1,we,,,,0,0,,
717944,00:11:57.944,m,let's do this one,1,one,,,,1,this,,,,0,0,,
720392,00:12:00.392,m,I like this one,1,one,,,,2,i,this,,,0,0,,
722976,00:12:02.976,m,come here,0,,,,,0,,,,,1,0,,
723928,,c,this,,,,,,,,,,,,,,
724982,00:12:04.982,m,the switch,0,,,,,0,,,,,1,0,,
728620,00:12:08.620,m,The Foot Book?,1,footbook,,,,0,,,,,0,0,,
731578,00:12:11.578,m,or One Duck Stuck?,1,oneduckstuckbook,,,,0,,,,,0,0,,
733992,,c,no,,,,,,,,,,,,,,
734703,00:12:14.703,m,which one?,1,one,,,,0,,,,,0,0,,
736916,00:12:16.916,m,which one,1,one,,,,0,,,,,0,0,,
737855,00:12:17.855,m,come on,0,,,,,0,,,,,0,0,,
739704,00:12:19.704,m,which one?,1,one,,,,0,,,,,0,0,,
742390,00:12:22.390,m,which one?,1,one,,,,0,,,,,0,1,,
743978,00:12:23.978,m,show me,0,,,,,1,me,,,,2,1,,
746164,00:12:26.164,m,huh?,0,,,,,0,,,,,1,1,,
